634,Men in Black: International,2019,$253890701
635,Wild Hogs,2007,$253625427
636,High School Musical 3: Senior Year,2008,$252909177
637,Hercules,1997,$252712101
638,X-Men: Dark Phoenix,2019,$252442974
639,True Grit,2010,$252276927
640,Dolittle,2020,$251410631
641,Bean,1997,$251212670
642,American Hustle,2013,$251171807
643,Enemy of the State,1998,$250849789
644,You've Got Mail,1998,$250821495
645,Eragon,2006,$250425512
646,Brother Bear,2003,$250397798
647,The Godfather,1972,$250341816
648,The Mask of Zorro,1998,$250288523
649,The Ring,2002,$249348933
650,The Blair Witch Project,1999,$248639099
651,Unbreakable,2000,$248118121
652,Journey to the West: The Demons Strike Back,2017,$247585244
653,Dumb and Dumber,1994,$247290327
654,Glass,2019,$246999039
655,Grown Ups 2,2013,$246984278
656,The Peanuts Movie,2015,$246233113
657,Rango,2011,$245724603
658,The Bad Guys,2022,$245713440
659,Four Weddings and a Funeral,1994,$245700832
660,Face/Off,1997,$245676146
661,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,$245623848
662,Dark Shadows,2012,$245527149
663,Hulk,2003,$245285165
664,Love Actually,2003,$245203167
665,The Bravest,2019,$245179562
666,Welcome to the Sticks,2008,$245144417
667,Back to the Future Part III,1990,$245077583
668,Pixels,2015,$244874809
669,Hercules,2014,$244819862
670,Rush Hour,1998,$244721064
671,Journey to the Center of the Earth,2008,$244232688
672,After Earth,2013,$243611982
673,A Few Good Men,1992,$243240178
674,Cloudy with a Chance of Meatballs,2009,$243006126
675,8 Mile,2002,$242875078
676,Daddy's Home,2015,$242786137
677,RoboCop,2014,$242688965
678,Eraser,1996,$242295562
679,Alien: Covenant,2017,$240891763
680,Sully,2016,$240797623
681,Assassin's Creed,2016,$240697856
682,Click,2006,$240685326
683,Legend of Deification,2020,$240663149
684,Resident Evil: Retribution,2012,$240159255
685,Die Hard 2,1990,$240031274
686,Crocodile Dundee II,1988,$239606210
687,Planes,2013,$239258712
688,Crazy Rich Asians,2018,$238843729
689,Batman & Robin,1997,$238235719
690,Howl's Moving Castle,2004,$237536126
691,Gulliver's Travels,2010,$237382724
692,Gone in 60 Seconds,2000,$237202299
693,Saturday Night Fever,1977,$237113184
694,Silver Linings Playbook,2012,$236412453
695,2 Fast 2 Furious,2003,$236350661
696,Hidden Figures,2016,$235956898
697,A.I. Artificial Intelligence,2001,$235926552
698,Dead Poets Society,1989,$235860116
699,Spy,2015,$235666219
700,American Pie,1999,$235483004
701,American Reunion,2012,$234989584
702,Big Daddy,1999,$234801895
703,Alvin and the Chipmunks: The Road Chip,2015,$234798636
704,The Imitation Game,2014,$233555708
705,Cruella,2021,$233503234
706,The Day the Earth Stood Still,2008,$233093859
707,American Wedding,2003,$232722935
